# Synthetic Demo Data — for demonstration only.
# Skill Sync AI: Industry Job Postings (Demand Signals)
title,company_name,district,sector,vacancies,experience_min,experience_max,salary_min,salary_max,raw_description,posting_date
EV Battery Diagnostics & BMS Specialist,Apex Dynamics Mobility Ltd (Synthetic Entity),Pune,automotive_ev,35,1.0,3.5,320000,480000,"Seeking technicians experienced in high-voltage lithium battery diagnostics, BMS telemetry parameter configuration, cell balancing, and electrical safety standards.",2026-08-15
Automotive CAN Bus & Telemetry Diagnostic Specialist,Veloce E-Mobility Systems (Synthetic Entity),Pune,automotive_ev,22,2.0,5.0,380000,580000,"Responsible for in-vehicle networking, Vector CANoe protocol analysis, bus error frame debugging, and harness telemetry validation.",2026-08-18
Industrial Robotics Automation & 6-Axis Arm Programmer,Precision Multi-Axis Robotics Ltd (Synthetic Entity),Coimbatore,manufacturing_cnc,28,2.0,4.5,420000,680000,"Programming 6-axis articulated KUKA/FANUC industrial robots, payload teaching, robotic welding cell integration, and pneumatics/hydraulics interlocks.",2026-08-20
Senior 5-Axis CNC Milling Specialist,Precision Multi-Axis Robotics Ltd (Synthetic Entity),Coimbatore,manufacturing_cnc,18,3.0,6.0,450000,720000,"Operating simultaneous 5-axis CNC machining centers, kinematic tool offsets, CAD/CAM simulation, and aerospace precision geometric dimensioning.",2026-08-22
CNC Production Machinist (Turning & Milling),Kalyani Mechatronics Works (Synthetic Entity),Pune,manufacturing_cnc,25,1.0,3.0,280000,400000,"Production machining of precision shafts, ISO G-code and M-code programming, tool wear inspection, and engineering blueprint reading.",2026-08-25
Smart Grid Solar Inverter Commissioning Engineer,Helios CleanGrid Solutions (Synthetic Entity),Ahmedabad,renewable_energy,30,1.5,4.0,340000,520000,"Commissioning central and string grid-tie inverters, IEEE 1547 anti-islanding compliance, SCADA synchronization, and high voltage safety lockout/tagout.",2026-08-28
Solar PV Rooftop Installation Lead,BreezePulse Energy Systems (Synthetic Entity),Ahmedabad,renewable_energy,16,1.0,3.0,260000,380000,"Structural roof-mount solar PV array installation, DC combiner wiring, earthing/grounding checks, and blueprint reading.",2026-08-30
Dialysis Biomedical Calibration Specialist,AuraHealth MedTech Devices (Synthetic Entity),Bengaluru Urban,healthcare_allied,20,1.5,4.0,360000,540000,"Specialized maintenance of hemodialysis units, pressure transducer calibration, ultrafiltration fluid circuit testing, and hospital autoclave sterilization.",2026-09-02
Hospital Biomedical Equipment Associate,LifePulse Clinical Engineering (Synthetic Entity),Coimbatore,healthcare_allied,14,1.0,3.0,270000,400000,"Preventive maintenance of clinical patient monitors, autoclave sterilization systems, and pneumatic surgical suction systems.",2026-09-05
Edge Cloud Infrastructure & Kubernetes DevOps Associate,CloudMatrix Edge Systems (Synthetic Entity),Bengaluru Urban,information_technology,40,1.0,3.0,500000,780000,"Managing declarative Kubernetes container clusters, microservices ingress routing, Linux system administration, and CI/CD pipelines.",2026-09-08
Linux Systems & Network Administrator,DataFlow Infrastructures (Synthetic Entity),Gurugram,information_technology,24,1.0,3.0,400000,600000,"Enterprise Linux system administration, shell scripting, user privilege security, and network subnetting.",2026-09-10
Carburetor & Vintage Engine Restoration Mechanic (Legacy),Vintage Motor Spares & Overhaul (Synthetic Entity),Pune,automotive_ev,2,5.0,10.0,180000,240000,"Manual servicing of mechanical dual-barrel carburetors, float needles, and distributor points for vintage pre-BS4 internal combustion vehicles.",2026-09-12
